Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,ClassDataShouldBePrivate,ComplexClass,FunctionalDecomposition,GodClass,SpaghettiCode,MAINTAINABILITY
de3a03b39e48462c87068d045c3a52e6a6031ea3,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
de3a03b39e48462c87068d045c3a52e6a6031ea3,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
9b090bc200a9836a83e28d946e413bb58dfb096b,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
9b090bc200a9836a83e28d946e413bb58dfb096b,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
9b090bc200a9836a83e28d946e413bb58dfb096b,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
9b090bc200a9836a83e28d946e413bb58dfb096b,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
8e99f226cc0def48efa21b3d0ebad38b62829d23,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
8e99f226cc0def48efa21b3d0ebad38b62829d23,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
8e99f226cc0def48efa21b3d0ebad38b62829d23,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
8e99f226cc0def48efa21b3d0ebad38b62829d23,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
d08b812dca63568dee6c992fec7616b268184de1,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
d08b812dca63568dee6c992fec7616b268184de1,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,1,FALSE
d08b812dca63568dee6c992fec7616b268184de1,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
d08b812dca63568dee6c992fec7616b268184de1,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
941a79b13b822f909e038b288094cde59f9ecc80,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
