Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,ClassDataShouldBePrivate,ComplexClass,FunctionalDecomposition,GodClass,SpaghettiCode,MAINTAINABILITY
a8a80dc2c268417125c1c86cac15b4d1b4063bf8,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
43e18dd47c35d26903f912123187fae3039b96ce,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
4836134144a4733f6d8469b5c64d2487dbafa127,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
bd34f5a08d476c909a42c7b2b860f85573a088a9,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,1,1,FALSE
53f626b36861969cd8d77dd0c0ba79aad523ccec,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
538ccbef145797386fd038a2590a9ce4319ae306,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,1,FALSE
97fdff5dcd488b18342715e86c4d4df93d961293,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,1,FALSE
82d4e04ddbc129215b3f8d0f4693b475ddc25320,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
4e2bdc071569d6363bcfa9cacbbfe66a7ded407a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
e0cd94a3bde1cf062f70e59ff5e099682c5e45aa,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
ce363bce38390b8903744f90cb45c9f746636010,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
60604f87584c5a2a2cefa07243e90ae039957cf2,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
8975aaf7d02cb79964d86c3bf811354b25f59e28,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,0,0,0,0,0,TRUE
