Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,MESSAGE
57d50d310cc9744ad9ae0e6afc63b1501217f167,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Address comments.
5325d3b88f9b0c0cef30a6d8fa65649bb3abf5c8,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31851] Fix linking errors when AOTTrivialInline is disabled."
d61fe3ea8d00acb5d7688baa42ae20525e74a85c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Link against winhttp only on JDK 11 and newer.
9c2cd4e855ae01b766597d69f26b5af6d6a8d729,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Style fix.
0ac2f892db92dc91ab93def64937e3a6e9c3396e,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31075] Fix vminfo computation for JMH benchmarks."
5d4de7250d2277c656954107308a34888091189c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Do not lose allowBufferAccess flag when HostAccess is derived from an existing one.
b866cb1ee3d0f9c67c7990d46710662aba8d806a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Adding some tests of allowBufferAccess flag of HostAccess.
d72503b0217612578f16ec2f50097ae0739b8d8a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31859] Disable IC combining for compatible shapes."
21d500232f63a0f76a028aa6c5c3629d8067b38e,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31479] Introduce BoxNodeIdentityPhase."
d4198c2f3b6faa78f263293a9404d1a02bd196c1,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-29529] Reinitialize DefaultProxySelector at runtime to support java.net.useSystemProxies."
bcb7ee7d925edf89ea07db7fb45e055569d30556,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-23997] Periodic update of the graal import (2021-06-05)."
bd480111fcf36eee027cf6492f468f4d869871cc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-19803] More precise stamps for conditional nodes."
64536c3653c9eccd0dcecba0f0efb5c504e95e78,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31483] Writing a foreign array index that is not insertable or writable should throw in strict mode."
fe47e64648e34312c3d2133a373d61bbd195be5e,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,[GR-31107] Improved testability of license presenter.
e78d3c016172cccc4e78653d207901936947e334,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Added a few more assertions.
5afa4d0514270d3801f77fd758e0e6954d582c36,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Merge with master.
c28ce4f4c39b5d2334e56da1e590d51108134ad4,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31716] DebuggerSession.createPrimitiveValue() added, DebugValue.set(primitiveValue) is deprecated, DebugValue not associated with a parent value is not writable."
0d45526e6a5112eae0667aa0609fc7732c1a149f,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Fix crash on (old) glibc 2.17: Use __libc_dlsym instead of the hooked dlsym in eden_ctypeInit. Improve logging to better diagnose such errors in the future."
45f1f90d779993950b78b0d3a6d23295b6df8442,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31912] pickletester.py: enable skipped test_clear_pickler_memo."
28a3c9ed93f0c729e3447e49335eb03108969291,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Cleanups.
6a09da193bd23a3d0642f8cbb73d9f0774df20b7,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Prevent erroneous removal of exception branches when the exception object isn't thrown
09c85b04341db130793a10c0e446f5acdc7924a7,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Missing boundaries in C++ vtable access nodes.
9b11dd58f026f196fd68874ea9332a44bda4e18e,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Use RTLD_NOW to get libeden handle to avoid crashes on older glibc.
4c5dcc7959284f30b1db692814c9839c43afdce4,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Fix Class.forName(Module, String) throwing instead of returning null."
5899c1b7779b658446f522bce74d282548e623b6,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Merge remote-tracking branch 'origin/master' into ph/GR-30891
5d7ab055f40f8c551ebf7514b399eb2ec0493360,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Add agent switch ""experimental-class-define-support""."
152420880a9e40fd6036ef6c9eb6024c0ff99cfc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fetch shared library handles when libeden is loaded.
540eff5e0b6edf7cffafba9fad5c874446d5299e,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31092] Handle method handle species initialised at build time."
ed9aa8077ab0b4624a8fed59d5edcf69f69d6233,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor wrapping test to be a remote value access test.
d1d17b6b1ce622af13d1824e8ea9ee4355d24c15,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor allow value dispatch to be reused from host. (incomplete)
9a5b0e8456d9cefe9c53f4ac6d1fce0edf7cadf0,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor rename host access to HostEngine.
c3bed41574f6a88e26ec27d8c478c3c8825e3c31,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor do not use host to guest root node for thread spawn.
aed2009b162609577a0d1936ee6765513fdb5e7d,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor cleanup engine accessor and introduce host language service.
faa493340145abbf156a5e114e9a7b0e3a4d8ba8,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor split ToGuestNode for polyglot and host interop.
5d5bf732560afc8fdc54a0053f08baba0dd41b84,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor make ToHostNode independent of PolyglotLanguageContext.
e938c98a64cf617be94d0a4fd34a503c913d6761,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor move HostContext argument in ToHostNode.
46328c2eb40e785e96b9a92774614f18bd275e40,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor introduce PolyglotToHostNode that indirectly calls ToHostNode.
c367dd80857d6a750fbbbca7654254680a262c56,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor introduce PolyglotInteropErrors.
907fe8f7a5b68e624641726ae6204d8b32984d00,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor introduce AbstractHostLanguage.
718da124c4680115f0bb491c464ce3b94e919a9a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor better separation of host and polyglot.
62b36b1c93772d1c7b5f55620971eb35185f7625,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor move host interop into separate package(1/2).
ef1fbd9df42099aec0e2462489dcb8981a708a25,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor move host interop into separate package(2/2).
a37f2c962910af80b08a98bdda9a40836e028c41,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor move host interop into its own project.
110c7688b0a1fe4b8bcab0e480898e98553ae7e4,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor cleanup visibility and unused code.
c5940f701833dd3e8dd2027fd012dc46f4bfb8f6,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor cleanup context type in polyglot value dispatch.
845132ad1b3f9234b6c4a9d76855b8461151ed22,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Refactor use service lookup to lookup host language; Move host service to AbstractPolyglotImpl.
9f54aab96e9f1911e408b87fff082a1961044653,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix ExceptionType should not be a TruffleObject.
7443ee87b72389cc61026b7b3489b02a83265df3,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Improve wrapper tests.
3c321e0f39add225d2704f4304d46bbace308aa3,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Make engine holder non-final to allow patching it in tests.
28343f9c5ada75022fa924d65b2c379a1c6c783a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Allow engine to be configured to use host language only when built.
92b0e81555e08c2a02ee374c0a96be7276bce2e6,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Reenable assertion for non-null engine.
f29179abadbf13ee722bed030119c37913cc843d,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Add boundaries for SLRemoteTest.
67209b07f6e76f30eeb4cf45d5ac0db5bdcacde9,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix rebase issues.
4876e67b84e8c10ebdfe2236beb1da17553ce810,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Add version-dependent workaround for older (< 2.17) glibc versions.
172db5d6bd0212dedc37c042658f5e15f0beaecf,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Minor improvements.
22ba280fa50d952906148d2d04d5686fa645ba56,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Write to all predefined class output directories with native-image-configure.
7eb26306b2830069138d4560643f139a39ff26a5,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31329] Add Java-implemented math stub listener."
6b756b7370d97a2fd8ce9ea57425ef32d5f69eec,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-19768] Update Truffle import."
