Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,HALSTAD,DIT,NOC,RFC,MESSAGE
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpResponseMessage,48,28,1,22,0,8,0,289,0,0,8,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpResponseMessageImpl,304,249,14,164,0,35,5,1514,0,0,99,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpRequestBuilder,116,8,8,68,0,8,1,682,0,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulMessage,144,171,5,84,0,19,0,1526,0,0,19,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulMessageImpl,235,139,15,143,0,22,2,1208,0,0,59,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginStats,27,1,0,7,0,2,0,76,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginStatsFactory,26,0,0,6,0,1,0,60,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnCounter,151,14,12,76,0,8,0,949,0,0,37,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnTimer,133,0,15,64,0,6,0,672,0,0,30,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,MonitoringHelper,43,0,0,20,0,1,0,192,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Tracer,38,1,0,15,0,2,0,131,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,TracerFactory,50,1,0,23,0,3,0,250,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ChannelUtils,40,0,2,10,0,1,0,167,0,0,9,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BasicRequestStat,95,45,5,44,0,11,0,328,0,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientChannelManager,63,66,6,17,0,12,0,199,0,0,12,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientTimeoutHandler,72,0,9,33,0,0,0,380,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnectionPoolConfig,60,105,1,20,0,15,0,125,0,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnectionPoolConfigImpl,151,48,6,75,0,16,2,566,0,0,32,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnectionPoolHandler,159,7,16,91,0,7,1,1030,1,0,47,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DefaultClientChannelManager,454,89,36,251,0,23,2,2554,0,0,97,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DefaultOriginChannelInitializer,111,4,14,54,0,5,0,761,1,0,16,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,IConnectionPool,42,28,5,13,0,8,0,152,0,0,8,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NettyClientConnectionFactory,66,1,11,13,0,2,0,153,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginChannelInitializer,32,0,3,6,0,1,0,77,1,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginConnectException,45,0,1,17,1,3,1,189,1,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PerServerConnectionPool,405,148,22,239,0,21,1,2218,0,0,121,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PooledConnection,242,219,12,139,0,26,2,1145,0,0,62,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PooledConnectionFactory,29,0,1,6,0,1,0,60,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestStat,61,53,3,22,0,11,0,222,0,0,13,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulNettyExceptionMapper,27,0,0,5,0,0,0,40,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseZuulFilterRunner,476,160,43,281,0,20,0,2590,0,0,127,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,FilterRunner,29,1,2,7,0,2,0,78,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulEndPointRunner,221,76,24,132,0,13,0,1315,1,0,73,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulFilterChainHandler,169,0,31,96,0,8,1,945,1,0,42,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulFilterChainRunner,158,9,13,103,0,6,0,952,1,0,42,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportLoggingHandler,149,6,22,65,0,5,0,972,1,0,39,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportStateHttpClientHandler,100,0,10,49,0,1,0,412,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportStateHttpServerHandler,119,0,11,54,0,1,0,476,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportStateListener,55,0,4,23,1,3,1,191,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportStateOriginHandler,98,0,7,39,0,1,0,363,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ServerStateHandler,135,0,12,71,0,1,0,689,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NettyRequestAttemptFactory,92,1,16,41,0,2,0,338,0,0,11,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NullChannelHandlerProvider,31,0,3,5,0,1,0,41,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestCancelledEvent,26,0,0,5,0,0,0,36,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseServerStartup,326,133,34,159,0,18,0,1747,0,0,43,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseZuulChannelInitializer,366,69,55,186,0,18,0,2527,1,0,44,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientConnectionsShutdown,156,0,22,54,0,3,0,800,0,0,19,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientRequestReceiver,438,65,54,231,0,14,0,2413,1,0,138,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientResponseWriter,322,17,42,196,0,11,0,1849,1,0,87,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DefaultEventLoopConfig,57,0,2,21,0,4,1,183,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DirectMemoryMonitor,130,0,14,61,0,3,0,551,0,0,14,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,EventLoopConfig,23,1,0,4,0,2,0,18,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http1MutualSslChannelInitializer,97,1,9,42,0,3,0,446,1,0,25,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DummyChannelHandler,38,3,2,11,0,3,0,143,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2Configuration,81,1,6,33,0,2,0,352,0,0,12,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2ContentLengthEnforcingHandler,100,0,11,53,0,3,0,892,1,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2OrHttpHandler,115,2,19,47,0,4,0,544,1,0,27,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2ResetFrameHandler,44,0,5,13,0,1,0,153,1,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2SslChannelInitializer,139,8,18,59,0,5,0,688,1,0,33,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2StreamErrorHandler,45,0,7,17,0,1,0,175,1,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2StreamHeaderCleaner,50,0,4,16,0,1,0,481,1,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2StreamInitializer,119,0,16,46,0,5,0,549,1,0,18,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,MethodBinding,48,0,2,21,0,2,0,280,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NamedSocketAddress,70,0,3,33,0,7,2,308,1,0,11,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginResponseReceiver,285,63,33,174,0,15,1,1688,1,0,74,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushAuthHandler,118,13,9,73,0,6,0,794,1,0,36,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushChannelInitializer,74,15,7,30,0,6,0,310,1,0,16,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushClientProtocolHandler,43,0,2,15,1,2,0,187,1,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushConnection,96,11,6,53,0,7,0,562,0,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushConnectionRegistry,67,0,6,30,0,6,1,311,0,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushMessageFactory,46,3,2,17,0,3,0,284,0,0,6,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushMessageSender,210,20,26,107,0,13,0,1359,1,0,55,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushMessageSenderInitializer,46,0,5,16,1,3,0,180,1,0,6,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushRegistrationHandler,187,0,11,116,0,12,1,1874,1,0,61,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushUserAuth,26,3,0,5,0,3,0,28,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Server,511,33,60,299,0,14,1,3497,0,0,83,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ServerTimeout,40,0,0,12,1,3,1,94,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SocketAddressProperty,173,0,10,18,1,2,0,707,1,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SslHandshakeInfoHandler,206,0,23,117,0,5,1,1509,1,0,46,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulDependencyKeys,59,0,15,20,0,0,0,296,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulServerChannelInitializer,65,3,4,24,0,3,0,266,1,0,12,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SpectatorUtils,65,28,5,34,0,8,0,277,0,0,26,core: make session context final
